ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.17,75.0,86.71,4562.73,9825.0,0,3,2,미분류,42.72,139.56,-43.04,86.08,⚪ 보유 유지,,35.0,구름대 위 / MA 정배열 / ADX강세(40.3),데이터없음,0,없음,N/A,N/A,,,🚨 IV 229.2% (극고변동성),PCR 1.04 (비관적),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,364.91,-0.25,-10.8,4378.92,0,3,3,🟡 중립,356.65,381.43,-2.26,4.53,🟠 손절가 근접 (모니터링),,-5.8,구름대 위 / BB하단(-0.19) / ADX강세(31.0),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 38.8% (보통),PCR 0.63 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,14.9,-8.98,-371.91,3769.7,0,2,-1,미분류,12.87,18.96,-13.62,27.25,🔵 추세 약화 (모니터링),,-56.8,구름대 위 / MA 정배열,데이터없음,0,없음,N/A,N/A,,,🚨 IV 82.2% (극고변동성),PCR 0.31 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,410.25,23.47,467.82,2461.5,0,4,1,🟡 중립,379.43,471.89,-7.51,15.02,🟠 분할익절 고려 (추세 점검),,55.8,구름대 위 / MA 정배열 / OBV상승(1.15x) / ADX강세(38.3),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 52.4% (고변동성),PCR 0.41 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1603.75,2.28,35.75,1603.75,0,3,3,🟡 중립,1441.89,1927.47,-10.09,20.19,🟣 추가매수 고려,,9.9,구름대 위 / MA 정배열 / RSI 상향돌파,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 69.2% (고변동성),PCR 1.07 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,421.98,1.99,32.92,1687.92,0,2,3,🟢 강세,393.51,478.92,-6.75,13.49,⚪ 보유 유지,,12.6,구름대 위 / MA 정배열,⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 33.2% (보통),PCR 0.63 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,423.0,7.52,88.74,1269.0,0,4,3,🟡 중립,359.48,550.05,-15.02,30.04,⚪ 보유 유지,,18.9,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+5.5),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 126.7% (극고변동성),PCR 1.07 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,222.12,18.92,176.7,1110.6,0,3,3,🟡 중립,205.56,255.24,-7.46,14.91,🟠 분할익절 고려 (추세 점검),,51.6,구름대 위 / RSI상승기울기(+4.8) / ADX강세(25.6),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 44.2% (보통),PCR 0.33 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,124.14,90.78,413.49,868.98,0,3,3,🟢 강세,99.85,172.73,-19.57,39.14,🟠 분할익절 고려 (추세 점검),,54.9,구름대 위 / MA 정배열 / ADX강세(42.5),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 115.7% (극고변동성),PCR 0.23 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
